year_month,federal,interest,rates,economy,economic,inflation,washington,bank,york,dollar
2020-01,28,21,23,15,11,8,7,11,9,4
2020-02,27,14,18,18,9,5,7,21,4,7
2020-03,90,63,55,59,48,3,36,38,21,40
2020-04,23,9,12,16,13,0,11,16,5,6
2020-05,13,10,17,12,13,0,7,12,6,2
2020-06,21,8,5,14,8,2,3,14,2,7
2020-07,13,5,6,10,16,5,2,10,2,5
2020-08,20,9,9,12,15,15,6,14,4,10
2020-09,46,20,27,23,16,31,5,18,4,23
2020-10,35,9,8,19,17,16,4,17,2,5
2020-11,30,9,9,28,19,6,9,10,7,5
2020-12,27,4,2,20,19,8,9,13,5,7
2021-01,42,12,12,33,23,16,6,22,2,16
2021-02,44,5,13,39,13,29,12,10,4,10
2021-03,57,18,24,30,35,38,19,34,9,19
2021-04,59,18,22,46,30,39,9,34,10,45
2021-05,56,19,24,32,22,65,13,22,12,50
2021-06,100,54,38,28,31,114,16,63,10,89
2021-07,82,18,18,36,27,69,25,33,16,64
2021-08,89,16,15,42,28,42,16,35,13,82
2021-09,102,28,15,24,20,53,13,44,8,80
2021-10,80,40,31,19,22,76,2,59,12,84
2021-11,130,54,41,23,30,117,18,39,20,93
2021-12,69,44,23,15,16,68,10,43,17,55
2022-01,144,91,64,28,17,92,24,58,19,65
2022-02,97,59,39,22,14,89,15,41,21,37
2022-03,71,42,35,34,16,64,15,31,17,16
2022-04,80,60,40,23,14,71,15,39,14,59
2022-05,118,67,44,35,26,111,24,47,14,73
2022-06,108,96,63,46,21,145,23,53,21,60
2022-07,110,88,47,50,19,101,21,30,18,78
2022-08,149,112,70,36,38,138,9,63,21,113
2022-09,132,96,83,34,30,148,20,46,22,93
2022-10,119,89,60,39,38,114,24,58,20,76
2022-11,141,101,59,24,21,121,18,52,25,80
2022-12,105,90,60,23,22,98,6,47,13,89
2023-01,110,73,37,32,33,96,19,46,24,77
2023-02,143,109,78,34,49,151,17,62,26,82
2023-03,153,102,87,31,27,97,37,136,30,95
2023-04,118,97,75,38,38,92,17,79,29,75
2023-05,140,103,67,34,40,111,32,84,21,86
2023-06,138,106,73,28,39,108,29,77,20,89
2023-07,114,90,49,33,24,98,13,51,23,82
2023-08,97,93,75,49,45,77,15,42,16,74
2023-09,117,74,63,41,41,88,17,51,20,68
2023-10,120,90,99,58,43,103,13,57,25,61
2023-11,141,113,100,50,30,103,15,70,36,83
2023-12,120,106,69,33,26,99,8,62,19,70
2024-01,111,77,41,39,50,86,9,53,19,67
2024-02,121,104,62,22,39,123,13,40,14,65
2024-03,112,104,53,33,25,110,13,46,16,52
2024-04,124,136,90,43,40,158,21,54,30,61
2024-05,179,156,91,30,49,202,17,47,30,87
2024-06,193,149,91,39,51,156,8,42,22,73
2024-07,161,115,72,29,46,118,10,57,23,82
2024-08,185,161,73,59,66,102,13,66,20,82
2024-09,238,198,93,61,50,97,24,66,34,90
2024-10,111,99,56,33,50,85,10,42,16,83
2024-11,96,74,51,40,31,82,16,40,7,64
2024-12,108,90,67,27,26,101,7,44,17,53
2025-01,95,103,74,31,47,102,14,51,12,65
2025-02,67,58,49,28,25,102,19,34,10,27
2025-03,77,57,41,35,58,57,10,51,18,31
2025-04,77,58,60,49,53,64,17,78,10,40
2025-05,45,34,43,25,29,54,11,40,12,45
2025-06,65,65,67,16,35,67,11,46,16,50
2025-07,96,71,70,18,42,58,30,82,19,55
2025-08,129,92,49,27,34,113,11,59,13,73
2025-09,163,112,80,29,40,91,22,82,17,60
2025-10,98,75,51,26,45,52,16,65,10,46
2025-11,22,16,14,10,10,13,4,13,5,15
