year,federal,interest,rates,economy,economic,inflation,washington,bank,york,dollar,treasury,markets,central,rate,update,wednesday,market,thursday,not,data
1990,378,264,275,167,170,92,371,98,190,57,94,29,57,116,0,43,76,25,113,34
1991,924,418,397,562,588,134,924,311,403,175,398,65,168,201,5,105,159,79,214,78
1992,804,297,290,502,607,101,825,147,328,93,366,65,78,91,3,89,88,84,207,48
1993,651,235,251,336,509,141,784,75,254,75,329,39,40,93,1,65,87,65,171,66
1994,602,397,417,242,400,237,414,135,206,161,221,108,96,135,0,46,109,49,179,33
1995,240,191,151,184,246,59,223,113,87,203,82,60,73,65,0,58,76,52,89,17
1996,321,215,214,181,266,120,242,99,163,85,63,64,72,74,1,72,68,99,108,34
1997,565,280,294,364,442,223,443,152,282,133,196,151,109,111,0,194,126,162,188,39
1998,915,485,412,922,1078,199,1034,351,457,178,522,341,238,240,2,409,240,389,456,18
1999,926,511,451,546,538,268,656,306,342,245,283,179,213,230,0,292,177,238,290,37
2000,591,427,389,374,195,181,275,201,197,91,78,88,166,170,131,131,105,156,130,35
2001,550,444,364,371,203,52,273,253,176,65,87,71,198,163,248,160,91,112,153,22
2002,367,269,268,213,197,60,221,114,105,71,77,50,95,79,178,125,41,83,84,11
2003,208,146,154,94,72,45,131,73,72,44,67,38,65,61,96,68,52,37,58,8
2004,254,241,229,72,61,66,91,60,108,43,79,34,53,134,47,63,54,46,35,26
2005,599,419,413,206,211,217,324,138,699,29,233,63,110,201,296,212,257,265,97,130
2006,2207,1294,1086,525,597,832,1054,494,1620,49,1112,157,352,635,755,641,638,757,322,607
2007,2753,1333,1017,877,703,690,1195,674,1789,211,837,504,527,612,1117,851,1055,866,428,563
2008,3397,1562,1175,1715,1047,784,1789,1204,1802,617,1036,867,942,796,1568,957,1018,1136,596,415
2009,1601,387,466,1001,815,223,1213,662,1045,338,522,291,366,235,1103,610,312,621,393,304
2010,1091,264,372,642,435,171,710,432,422,142,210,220,310,243,737,310,182,364,276,89
2011,782,225,236,587,378,280,421,368,299,184,123,284,341,129,670,231,175,233,291,101
2012,745,260,282,483,362,198,268,348,218,70,90,211,300,173,534,171,119,186,244,109
2013,1221,299,311,607,458,219,453,651,301,232,145,282,584,175,626,337,222,296,345,208
2014,1432,697,605,596,652,357,413,542,324,345,94,266,502,384,350,313,249,234,211,241
2015,2476,1870,1493,1002,938,541,642,832,736,884,206,540,714,1139,508,557,492,511,458,502
2016,2359,1845,1371,1105,830,612,512,975,829,924,273,599,826,1166,545,644,429,528,411,664
2017,679,562,501,369,374,334,195,429,191,397,98,167,364,291,275,200,151,161,211,163
2018,446,423,400,267,147,224,106,320,121,241,68,141,269,226,180,104,122,109,109,83
2019,651,536,484,286,218,164,177,244,172,155,59,280,240,290,165,145,162,124,166,136
2020,373,181,191,246,204,99,106,194,71,121,90,222,198,91,111,77,129,65,80,51
2021,910,326,276,367,297,726,159,438,133,687,232,620,470,156,222,269,221,183,209,274
2022,1374,991,664,394,276,1292,214,565,225,839,266,700,603,461,310,318,282,265,182,436
2023,1511,1156,872,461,435,1223,232,817,289,942,269,861,646,476,360,409,332,334,198,818
2024,1739,1463,840,455,523,1420,161,597,248,859,283,1458,558,547,281,477,414,432,201,1187
2025,934,741,598,294,418,773,165,601,142,507,210,1156,509,355,358,308,339,233,187,518
