year_month,u.s.,federal,interest,rates,economy,economic,bank,inflation,central,markets
2020-01,43,28,21,23,15,11,11,8,8,11
2020-02,44,27,14,18,18,9,21,5,22,17
2020-03,153,90,63,55,59,48,38,3,41,45
2020-04,45,23,9,12,16,13,16,0,16,10
2020-05,41,13,10,17,12,13,12,0,13,20
2020-06,48,21,8,5,14,8,14,2,14,10
2020-07,35,13,5,6,10,16,10,5,12,10
2020-08,40,20,9,9,12,15,14,15,14,18
2020-09,80,46,20,27,23,16,18,31,19,23
2020-10,61,35,9,8,19,17,17,16,19,19
2020-11,62,30,9,9,28,19,10,6,10,25
2020-12,50,27,4,2,20,19,13,8,10,14
2021-01,80,42,12,12,33,23,22,16,23,33
2021-02,71,44,5,13,39,13,10,29,10,35
2021-03,117,57,18,24,30,35,34,38,33,38
2021-04,126,59,18,22,46,30,34,39,30,36
2021-05,128,56,19,24,32,22,22,65,20,39
2021-06,217,100,54,38,28,31,63,114,60,81
2021-07,170,82,18,18,36,27,33,69,36,54
2021-08,168,89,16,15,42,28,35,42,46,70
2021-09,191,102,28,15,24,20,44,53,49,61
2021-10,161,80,40,31,19,22,59,76,66,57
2021-11,205,130,54,41,23,30,39,117,48,70
2021-12,126,69,44,23,15,16,43,68,49,46
2022-01,230,144,91,64,28,17,58,92,51,64
2022-02,163,97,59,39,22,14,41,89,38,52
2022-03,145,71,42,35,34,16,31,64,27,50
2022-04,152,80,60,40,23,14,39,71,41,50
2022-05,199,118,67,44,35,26,47,111,52,55
2022-06,196,108,96,63,46,21,53,145,68,50
2022-07,209,110,88,47,50,19,30,101,41,49
2022-08,262,149,112,70,36,38,63,138,70,67
2022-09,252,132,96,83,34,30,46,148,55,82
2022-10,236,119,89,60,39,38,58,114,56,72
2022-11,221,141,101,59,24,21,52,121,56,61
2022-12,201,105,90,60,23,22,47,98,48,48
2023-01,191,110,73,37,32,33,46,96,46,54
2023-02,247,143,109,78,34,49,62,151,55,67
2023-03,285,153,102,87,31,27,136,97,63,117
2023-04,207,118,97,75,38,38,79,92,37,55
2023-05,262,140,103,67,34,40,84,111,64,66
2023-06,236,138,106,73,28,39,77,108,67,80
2023-07,190,114,90,49,33,24,51,98,48,57
2023-08,217,97,93,75,49,45,42,77,45,66
2023-09,185,117,74,63,41,41,51,88,57,65
2023-10,249,120,90,99,58,43,57,103,54,82
2023-11,227,141,113,100,50,30,70,103,56,80
2023-12,204,120,106,69,33,26,62,99,54,72
2024-01,184,111,77,41,39,50,53,86,52,59
2024-02,185,121,104,62,22,39,40,123,40,51
2024-03,176,112,104,53,33,25,46,110,41,67
2024-04,278,124,136,90,43,40,54,158,57,121
2024-05,336,179,156,91,30,49,47,202,55,161
2024-06,307,193,149,91,39,51,42,156,44,143
2024-07,297,161,115,72,29,46,57,118,45,150
2024-08,356,185,161,73,59,66,66,102,53,188
2024-09,350,238,198,93,61,50,66,97,56,168
2024-10,241,111,99,56,33,50,42,85,41,113
2024-11,213,96,74,51,40,31,40,82,32,112
2024-12,203,108,90,67,27,26,44,101,42,125
2025-01,216,95,103,74,31,47,51,102,36,123
2025-02,180,67,58,49,28,25,34,102,29,96
2025-03,196,77,57,41,35,58,51,57,45,90
2025-04,210,77,58,60,49,53,78,64,70,96
2025-05,141,45,34,43,25,29,40,54,31,79
2025-06,177,65,65,67,16,35,46,67,46,108
2025-07,191,96,71,70,18,42,82,58,69,114
2025-08,220,129,92,49,27,34,59,113,55,189
2025-09,268,163,112,80,29,40,82,91,75,146
2025-10,174,98,75,51,26,45,65,52,43,92
2025-11,35,22,16,14,10,10,13,13,10,23
