year,u.s.,federal,interest,rates,economy,economic,bank,inflation,central,markets,rate,dollar,treasury,fed,market,reserve,policy,growth,monetary,prices
1990,635,378,264,275,167,170,98,92,57,29,116,57,94,24,76,45,87,65,77,25
1991,1718,924,418,397,562,588,311,134,168,65,201,175,398,91,159,220,123,164,133,40
1992,1406,804,297,290,502,607,147,101,78,65,91,93,366,134,88,201,122,249,159,16
1993,1271,651,235,251,336,509,75,141,40,39,93,75,329,99,87,153,130,256,125,22
1994,942,602,397,417,242,400,135,237,96,108,135,161,221,53,109,119,107,172,126,22
1995,502,240,191,151,184,246,113,59,73,60,65,203,82,15,76,42,48,58,61,5
1996,599,321,215,214,181,266,99,120,72,64,74,85,63,23,68,40,84,104,115,13
1997,1108,565,280,294,364,442,152,223,109,151,111,133,196,48,126,59,120,178,190,33
1998,2288,915,485,412,922,1078,351,199,238,341,240,178,522,79,240,99,218,261,365,38
1999,1429,926,511,451,546,538,306,268,213,179,230,245,283,98,177,98,215,221,286,63
2000,723,591,427,389,374,195,201,181,166,88,170,91,78,83,105,81,88,95,100,52
2001,679,550,444,364,371,203,253,52,198,71,163,65,87,102,91,118,117,81,117,26
2002,457,367,269,268,213,197,114,60,95,50,79,71,77,94,41,63,89,56,92,18
2003,263,208,146,154,94,72,73,45,65,38,61,44,67,61,52,26,61,35,48,14
2004,365,254,241,229,72,61,60,66,53,34,134,43,79,35,54,28,74,36,38,43
2005,1407,599,419,413,206,211,138,217,110,63,201,29,233,92,257,74,89,147,56,273
2006,3728,2207,1294,1086,525,597,494,832,352,157,635,49,1112,356,638,516,320,506,168,736
2007,4387,2753,1333,1017,877,703,674,690,527,504,612,211,837,513,1055,623,280,560,280,640
2008,6217,3397,1562,1175,1715,1047,1204,784,942,867,796,617,1036,710,1018,715,396,475,273,619
2009,3584,1601,387,466,1001,815,662,223,366,291,235,338,522,460,312,300,240,184,178,193
2010,2055,1091,264,372,642,435,432,171,310,220,243,142,210,361,182,177,217,179,211,72
2011,1679,782,225,236,587,378,368,280,341,284,129,184,123,350,175,124,237,241,230,151
2012,1387,745,260,282,483,362,348,198,300,211,173,70,90,348,119,140,271,226,263,80
2013,2127,1221,299,311,607,458,651,219,584,282,175,232,145,437,222,262,359,279,397,87
2014,2250,1432,697,605,596,652,542,357,502,266,384,345,94,482,249,458,330,284,291,158
2015,4003,2476,1870,1493,1002,938,832,541,714,540,1139,884,206,683,492,660,499,537,442,370
2016,4099,2359,1845,1371,1105,830,975,612,826,599,1166,924,273,861,429,482,514,572,450,315
2017,1427,679,562,501,369,374,429,334,364,167,291,397,98,235,151,169,262,222,225,115
2018,908,446,423,400,267,147,320,224,269,141,226,241,68,175,122,114,169,139,138,72
2019,1105,651,536,484,286,218,244,164,240,280,290,155,59,271,162,118,157,140,170,69
2020,702,373,181,191,246,204,194,99,198,222,91,121,90,189,129,91,97,46,113,39
2021,1760,910,326,276,367,297,438,726,470,620,156,687,232,331,221,226,258,152,275,261
2022,2466,1374,991,664,394,276,565,1292,603,700,461,839,266,309,282,370,333,187,284,399
2023,2700,1511,1156,872,461,435,817,1223,646,861,476,942,269,270,332,438,381,188,330,428
2024,3126,1739,1463,840,455,523,597,1420,558,1458,547,859,283,306,414,565,344,217,284,493
2025,2008,934,741,598,294,418,601,773,509,1156,355,507,210,280,339,252,331,192,225,225
