year,Inflation & Prices,Interest Rates & Monetary Policy,Economic Growth & Output,Employment & Labor,Trade & Commerce,Fiscal Policy & Government,Markets & Finance,Investment & Capital,Business & Corporate,Commodities & Energy,Housing & Real Estate,Consumer & Spending,Financial Stability & Risk
1990,174,1603,530,10,130,374,237,209,36,38,94,51,140
1991,264,3599,1794,44,186,964,589,415,131,30,91,191,299
1992,157,2793,1684,53,149,1041,402,246,101,30,77,181,140
1993,240,2250,1257,45,247,1199,331,193,159,101,34,212,79
1994,317,2500,945,46,156,508,546,140,80,13,25,67,49
1995,94,1124,591,22,106,311,476,76,43,11,11,36,108
1996,195,1388,630,51,69,284,363,99,57,17,16,53,65
1997,386,2216,1088,83,177,537,684,198,101,23,10,119,188
1998,349,4114,2586,47,258,1192,1356,457,157,17,26,195,871
1999,442,3746,1569,68,124,672,1084,322,146,37,27,200,300
2000,310,2431,781,24,41,261,495,147,63,43,25,126,122
2001,140,2570,834,13,41,289,356,124,68,15,36,86,154
2002,124,1639,616,13,32,209,280,85,51,8,47,65,132
2003,84,1007,246,6,18,135,226,28,18,4,23,32,45
2004,143,1273,214,4,24,152,231,61,28,24,13,59,30
2005,745,2954,718,65,214,714,576,313,178,168,629,498,149
2006,2142,9665,2070,147,521,2591,1216,960,469,296,921,951,364
2007,1835,10877,2776,101,516,2466,2576,1957,447,230,1535,862,840
2008,2045,13294,4532,139,483,3473,3639,2305,560,545,1247,999,2157
2009,769,5948,2928,170,333,2574,1512,998,440,223,909,821,1128
2010,391,4305,1680,135,248,1421,785,436,186,64,645,361,526
2011,561,3599,1486,108,242,1255,922,353,108,244,149,223,506
2012,348,3550,1314,148,137,925,528,271,126,78,175,206,368
2013,405,5611,1567,130,168,1321,1107,439,160,134,225,283,436
2014,629,6414,1746,172,148,505,1333,334,156,181,82,205,390
2015,1146,11999,2767,276,370,946,3002,766,305,530,133,432,646
2016,1195,12006,2837,240,449,972,3220,746,297,453,202,609,764
2017,535,4172,1078,92,371,557,1227,295,149,109,81,161,279
2018,368,3012,639,58,315,244,787,188,85,80,78,125,210
2019,321,3453,808,49,347,193,812,206,86,87,64,145,274
2020,186,1949,662,58,78,270,637,202,99,46,39,98,237
2021,1242,4615,1034,112,111,530,2273,393,176,344,77,348,330
2022,2081,7027,1280,132,215,554,2927,651,231,510,162,546,600
2023,2109,8235,1374,192,203,805,3435,873,268,523,136,630,515
2024,2456,8651,1433,234,368,689,4914,983,438,600,135,595,423
2025,1332,5665,1043,135,1601,664,3422,688,341,247,115,426,585
