year_month,Business & Corporate
2020-01,0.06349206349206349
2020-02,0.04838709677419355
2020-03,0.11483253588516747
2020-04,0.17647058823529413
2020-05,0.05660377358490566
2020-06,0.125
2020-07,0.11320754716981132
2020-08,0.13114754098360656
2020-09,0.11711711711711711
2020-10,0.12658227848101267
2020-11,0.05813953488372093
2020-12,0.04411764705882353
2021-01,0.05454545454545454
2021-02,0.06481481481481481
2021-03,0.0440251572327044
2021-04,0.07333333333333333
2021-05,0.05732484076433121
2021-06,0.06711409395973154
2021-07,0.08695652173913043
2021-08,0.1
2021-09,0.050980392156862744
2021-10,0.11206896551724138
2021-11,0.06796116504854369
2021-12,0.06153846153846154
2022-01,0.05704697986577181
2022-02,0.06880733944954129
2022-03,0.056179775280898875
2022-04,0.04807692307692308
2022-05,0.044444444444444446
2022-06,0.0948905109489051
2022-07,0.12686567164179105
2022-08,0.05105105105105105
2022-09,0.055384615384615386
2022-10,0.11217948717948718
2022-11,0.04912280701754386
2022-12,0.08914728682170543
2023-01,0.12363636363636364
2023-02,0.04923076923076923
2023-03,0.0332541567695962
2023-04,0.14802631578947367
2023-05,0.05555555555555555
2023-06,0.05847953216374269
2023-07,0.10869565217391304
2023-08,0.05704697986577181
2023-09,0.050387596899224806
2023-10,0.09740259740259741
2023-11,0.06306306306306306
2023-12,0.030508474576271188
2024-01,0.07194244604316546
2024-02,0.09328358208955224
2024-03,0.07835820895522388
2024-04,0.1581769436997319
2024-05,0.11956521739130435
2024-06,0.06937799043062201
2024-07,0.16169154228855723
2024-08,0.09053497942386832
2024-09,0.04743833017077799
2024-10,0.15425531914893617
2024-11,0.07453416149068323
2024-12,0.039634146341463415
2025-01,0.14450867052023122
2025-02,0.060714285714285714
2025-03,0.041935483870967745
2025-04,0.05730659025787966
2025-05,0.05179282868525897
2025-06,0.06040268456375839
2025-07,0.15240641711229946
2025-08,0.12698412698412698
2025-09,0.06118143459915612
2025-10,0.13897280966767372
2025-11,0.16279069767441862
