year,raw_frequency,normalized_frequency,articles_per_year
1990,36,0.043373493975903614,830
1991,131,0.06045223811721274,2167
1992,101,0.05246753246753247,1925
1993,159,0.09153713298791019,1737
1994,80,0.057803468208092484,1384
1995,43,0.053952321204516936,797
1996,57,0.06284454244762955,907
1997,101,0.06281094527363185,1608
1998,157,0.045037292025243834,3486
1999,146,0.06460176991150443,2260
2000,63,0.05871388630009319,1073
2001,68,0.06679764243614932,1018
2002,51,0.07834101382488479,651
2003,18,0.04568527918781726,394
2004,28,0.06320541760722348,443
2005,178,0.1022400919012062,1741
2006,469,0.09904963041182682,4735
2007,447,0.07904509283819629,5655
2008,560,0.06877916973716532,8142
2009,440,0.09345794392523364,4708
2010,186,0.0640275387263339,2905
2011,108,0.040754716981132075,2650
2012,126,0.0603448275862069,2088
2013,160,0.05278785879247773,3031
2014,156,0.051587301587301584,3024
2015,305,0.05579948774240761,5466
2016,297,0.05394115510352343,5506
2017,149,0.07136015325670499,2088
2018,85,0.06789137380191693,1252
2019,86,0.05854322668481961,1469
2020,99,0.10133060388945753,977
2021,176,0.07204257060990585,2443
2022,231,0.07158351409978309,3227
2023,268,0.07095578501456182,3777
2024,438,0.09720372836218376,4506
2025,341,0.09464335276158757,3603
