year_month,Financial Stability & Risk
2020-01,0.20634920634920634
2020-02,0.25806451612903225
2020-03,0.23923444976076555
2020-04,0.29411764705882354
2020-05,0.2641509433962264
2020-06,0.203125
2020-07,0.11320754716981132
2020-08,0.22950819672131148
2020-09,0.24324324324324326
2020-10,0.24050632911392406
2020-11,0.3372093023255814
2020-12,0.23529411764705882
2021-01,0.10909090909090909
2021-02,0.14814814814814814
2021-03,0.12578616352201258
2021-04,0.12666666666666668
2021-05,0.10828025477707007
2021-06,0.12416107382550336
2021-07,0.14782608695652175
2021-08,0.09583333333333334
2021-09,0.1843137254901961
2021-10,0.21982758620689655
2021-11,0.08737864077669903
2021-12,0.13846153846153847
2022-01,0.07718120805369127
2022-02,0.13302752293577982
2022-03,0.2808988764044944
2022-04,0.1875
2022-05,0.21851851851851853
2022-06,0.29927007299270075
2022-07,0.30223880597014924
2022-08,0.12612612612612611
2022-09,0.19076923076923077
2022-10,0.14423076923076922
2022-11,0.10877192982456141
2022-12,0.22093023255813954
2023-01,0.12363636363636364
2023-02,0.15076923076923077
2023-03,0.20902612826603326
2023-04,0.23355263157894737
2023-05,0.22514619883040934
2023-06,0.05847953216374269
2023-07,0.09420289855072464
2023-08,0.09731543624161074
2023-09,0.12015503875968993
2023-10,0.11038961038961038
2023-11,0.11411411411411411
2023-12,0.061016949152542375
2024-01,0.08273381294964029
2024-02,0.08208955223880597
2024-03,0.06716417910447761
2024-04,0.08847184986595175
2024-05,0.05652173913043478
2024-06,0.045454545454545456
2024-07,0.0845771144278607
2024-08,0.2242798353909465
2024-09,0.07020872865275142
2024-10,0.11170212765957446
2024-11,0.11180124223602485
2024-12,0.07317073170731707
2025-01,0.12138728323699421
2025-02,0.18571428571428572
2025-03,0.25483870967741934
2025-04,0.30945558739255014
2025-05,0.199203187250996
2025-06,0.1644295302013423
2025-07,0.12566844919786097
2025-08,0.09523809523809523
2025-09,0.09915611814345991
2025-10,0.1419939577039275
2025-11,0.18604651162790697
