year_month,Housing & Real Estate
2020-01,0.0
2020-02,0.04838709677419355
2020-03,0.0430622009569378
2020-04,0.07352941176470588
2020-05,0.0
2020-06,0.0625
2020-07,0.0
2020-08,0.0
2020-09,0.07207207207207207
2020-10,0.05063291139240506
2020-11,0.06976744186046512
2020-12,0.0
2021-01,0.045454545454545456
2021-02,0.046296296296296294
2021-03,0.031446540880503145
2021-04,0.006666666666666667
2021-05,0.012738853503184714
2021-06,0.030201342281879196
2021-07,0.030434782608695653
2021-08,0.0625
2021-09,0.0196078431372549
2021-10,0.04741379310344827
2021-11,0.02912621359223301
2021-12,0.015384615384615385
2022-01,0.030201342281879196
2022-02,0.03211009174311927
2022-03,0.03932584269662921
2022-04,0.09615384615384616
2022-05,0.07037037037037037
2022-06,0.04744525547445255
2022-07,0.026119402985074626
2022-08,0.05105105105105105
2022-09,0.05846153846153846
2022-10,0.08333333333333333
2022-11,0.042105263157894736
2022-12,0.023255813953488372
2023-01,0.02181818181818182
2023-02,0.015384615384615385
2023-03,0.06175771971496437
2023-04,0.019736842105263157
2023-05,0.04093567251461988
2023-06,0.043859649122807015
2023-07,0.03260869565217391
2023-08,0.050335570469798654
2023-09,0.03875968992248062
2023-10,0.03571428571428571
2023-11,0.042042042042042045
2023-12,0.01694915254237288
2024-01,0.017985611510791366
2024-02,0.029850746268656716
2024-03,0.04477611940298507
2024-04,0.02680965147453083
2024-05,0.02826086956521739
2024-06,0.0430622009569378
2024-07,0.024875621890547265
2024-08,0.02263374485596708
2024-09,0.022770398481973434
2024-10,0.047872340425531915
2024-11,0.043478260869565216
2024-12,0.012195121951219513
2025-01,0.04046242774566474
2025-02,0.03214285714285714
2025-03,0.01935483870967742
2025-04,0.014326647564469915
2025-05,0.00796812749003984
2025-06,0.016778523489932886
2025-07,0.026737967914438502
2025-08,0.05357142857142857
2025-09,0.052742616033755275
2025-10,0.030211480362537766
2025-11,0.023255813953488372
