year_month,Inflation & Prices
2020-01,0.19047619047619047
2020-02,0.11290322580645161
2020-03,0.09569377990430622
2020-04,0.08823529411764706
2020-05,0.03773584905660377
2020-06,0.09375
2020-07,0.18867924528301888
2020-08,0.39344262295081966
2020-09,0.36936936936936937
2020-10,0.379746835443038
2020-11,0.16279069767441862
2020-12,0.20588235294117646
2021-01,0.24545454545454545
2021-02,0.4444444444444444
2021-03,0.32075471698113206
2021-04,0.4866666666666667
2021-05,0.7452229299363057
2021-06,0.5771812080536913
2021-07,0.5782608695652174
2021-08,0.375
2021-09,0.403921568627451
2021-10,0.5905172413793104
2021-11,0.6181229773462783
2021-12,0.5128205128205128
2022-01,0.45302013422818793
2022-02,0.7431192660550459
2022-03,0.5561797752808989
2022-04,0.5240384615384616
2022-05,0.6148148148148148
2022-06,0.843065693430657
2022-07,0.6604477611940298
2022-08,0.6996996996996997
2022-09,0.7353846153846154
2022-10,0.5769230769230769
2022-11,0.656140350877193
2022-12,0.6317829457364341
2023-01,0.5854545454545454
2023-02,0.7107692307692308
2023-03,0.40617577197149646
2023-04,0.6348684210526315
2023-05,0.5584795321637427
2023-06,0.543859649122807
2023-07,0.5688405797101449
2023-08,0.5469798657718121
2023-09,0.5503875968992248
2023-10,0.5714285714285714
2023-11,0.5255255255255256
2023-12,0.5525423728813559
2024-01,0.46402877697841727
2024-02,0.6865671641791045
2024-03,0.7126865671641791
2024-04,0.67828418230563
2024-05,0.7369565217391304
2024-06,0.6698564593301436
2024-07,0.5149253731343284
2024-08,0.47530864197530864
2024-09,0.3681214421252372
2024-10,0.40425531914893614
2024-11,0.38509316770186336
2024-12,0.524390243902439
2025-01,0.4421965317919075
2025-02,0.5964285714285714
2025-03,0.33548387096774196
2025-04,0.3037249283667622
2025-05,0.3466135458167331
2025-06,0.40604026845637586
2025-07,0.3074866310160428
2025-08,0.38095238095238093
2025-09,0.3818565400843882
2025-10,0.2598187311178248
2025-11,0.23255813953488372
