year_month,Investment & Capital
2020-01,0.12698412698412698
2020-02,0.04838709677419355
2020-03,0.3349282296650718
2020-04,0.27941176470588236
2020-05,0.18867924528301888
2020-06,0.21875
2020-07,0.1320754716981132
2020-08,0.18032786885245902
2020-09,0.1891891891891892
2020-10,0.1518987341772152
2020-11,0.22093023255813954
2020-12,0.11764705882352941
2021-01,0.11818181818181818
2021-02,0.10185185185185185
2021-03,0.2138364779874214
2021-04,0.09333333333333334
2021-05,0.07643312101910828
2021-06,0.2080536912751678
2021-07,0.1608695652173913
2021-08,0.12916666666666668
2021-09,0.1568627450980392
2021-10,0.15948275862068967
2021-11,0.2459546925566343
2021-12,0.13333333333333333
2022-01,0.23825503355704697
2022-02,0.24311926605504589
2022-03,0.1853932584269663
2022-04,0.15865384615384615
2022-05,0.17777777777777778
2022-06,0.20802919708029197
2022-07,0.23134328358208955
2022-08,0.2072072072072072
2022-09,0.2153846153846154
2022-10,0.15064102564102563
2022-11,0.1543859649122807
2022-12,0.24806201550387597
2023-01,0.15272727272727274
2023-02,0.2123076923076923
2023-03,0.2992874109263658
2023-04,0.21710526315789475
2023-05,0.24561403508771928
2023-06,0.20760233918128654
2023-07,0.27898550724637683
2023-08,0.2348993288590604
2023-09,0.2364341085271318
2023-10,0.2077922077922078
2023-11,0.21621621621621623
2023-12,0.24067796610169492
2024-01,0.28776978417266186
2024-02,0.16417910447761194
2024-03,0.19402985074626866
2024-04,0.1876675603217158
2024-05,0.21739130434782608
2024-06,0.2583732057416268
2024-07,0.22139303482587064
2024-08,0.19547325102880658
2024-09,0.2314990512333966
2024-10,0.19414893617021275
2024-11,0.2515527950310559
2024-12,0.21036585365853658
2025-01,0.1907514450867052
2025-02,0.17142857142857143
2025-03,0.2064516129032258
2025-04,0.15759312320916904
2025-05,0.2350597609561753
2025-06,0.1644295302013423
2025-07,0.1657754010695187
2025-08,0.17857142857142858
2025-09,0.22573839662447256
2025-10,0.2175226586102719
2025-11,0.18604651162790697
