year_month,Markets & Finance
2020-01,0.5238095238095238
2020-02,0.5967741935483871
2020-03,0.8708133971291866
2020-04,0.5441176470588235
2020-05,0.6792452830188679
2020-06,0.53125
2020-07,0.49056603773584906
2020-08,0.7540983606557377
2020-09,0.7027027027027027
2020-10,0.5189873417721519
2020-11,0.5116279069767442
2020-12,0.6323529411764706
2021-01,0.7636363636363637
2021-02,0.6851851851851852
2021-03,0.6918238993710691
2021-04,1.0333333333333334
2021-05,0.9363057324840764
2021-06,0.9563758389261745
2021-07,0.8782608695652174
2021-08,1.0291666666666666
2021-09,0.8627450980392157
2021-10,1.1508620689655173
2021-11,0.9579288025889967
2021-12,0.9538461538461539
2022-01,0.7986577181208053
2022-02,0.8715596330275229
2022-03,0.702247191011236
2022-04,0.9903846153846154
2022-05,0.9851851851851852
2022-06,0.8321167883211679
2022-07,0.8768656716417911
2022-08,0.8978978978978979
2022-09,1.003076923076923
2022-10,0.8717948717948718
2022-11,0.9192982456140351
2022-12,1.0852713178294573
2023-01,0.9018181818181819
2023-02,0.8830769230769231
2023-03,0.8954869358669834
2023-04,0.8125
2023-05,0.8391812865497076
2023-06,0.9532163742690059
2023-07,0.9420289855072463
2023-08,0.9362416107382551
2023-09,0.9922480620155039
2023-10,0.9318181818181818
2023-11,0.924924924924925
2023-12,0.9254237288135593
2024-01,0.8345323741007195
2024-02,0.8731343283582089
2024-03,0.8656716417910447
2024-04,1.0268096514745308
2024-05,1.1934782608695653
2024-06,1.1531100478468899
2024-07,1.256218905472637
2024-08,1.2757201646090535
2024-09,1.0721062618595825
2024-10,1.0372340425531914
2024-11,1.1118012422360248
2024-12,1.1097560975609757
2025-01,1.0578034682080926
2025-02,0.9035714285714286
2025-03,0.8225806451612904
2025-04,0.8252148997134671
2025-05,0.9243027888446215
2025-06,0.9865771812080537
2025-07,0.9251336898395722
2025-08,1.123015873015873
2025-09,0.9029535864978903
2025-10,0.9425981873111783
2025-11,0.9534883720930233
